"gs_name","gs_description"
"WP_FIBRIN_COMPLEMENT_RECEPTOR_3_SIGNALING_PATHWAY","Fibrin Complement Receptor 3 Signaling Pathway"
"WP_FLUOROPYRIMIDINE_ACTIVITY","Fluoropyrimidine Activity"
"WP_FOCAL_ADHESION","Focal Adhesion"
"WP_FOCAL_ADHESIONPI3KAKTMTORSIGNALING_PATHWAY","Focal Adhesion-PI3K-Akt-mTOR-signaling pathway"
"WP_FOLATE_METABOLISM","Folate Metabolism"
"WP_FOLATEALCOHOL_AND_CANCER_PATHWAY_HYPOTHESES","Folate-Alcohol and Cancer Pathway Hypotheses"
"WP_FOLLICLE_STIMULATING_HORMONE_FSH_SIGNALING_PATHWAY","Follicle Stimulating Hormone (FSH) signaling pathway"
"WP_FRAGILE_X_SYNDROME","Fragile X Syndrome "
"WP_FTO_OBESITY_VARIANT_MECHANISM","FTO Obesity Variant Mechanism"
"WP_G_PROTEIN_SIGNALING_PATHWAYS","G Protein Signaling Pathways"
"WP_G1_TO_S_CELL_CYCLE_CONTROL","G1 to S cell cycle control"
"WP_G13_SIGNALING_PATHWAY","G13 Signaling Pathway"
"WP_GABA_RECEPTOR_SIGNALING","GABA receptor Signaling"
"WP_GAMMAGLUTAMYL_CYCLE_FOR_THE_BIOSYNTHESIS_AND_DEGRADATION_OF_GLUTATHIONE_INCLUDING_DISEASES","Gamma-Glutamyl Cycle for the biosynthesis and degradation of glutathione, including diseases"
"WP_GANGLIO_SPHINGOLIPID_METABOLISM","Ganglio Sphingolipid Metabolism"
"WP_GASTRIC_ACID_PRODUCTION","Gastric acid production"
"WP_GASTRIC_CANCER_NETWORK_1","Gastric Cancer Network 1"
"WP_GASTRIC_CANCER_NETWORK_2","Gastric Cancer Network 2"
"WP_GASTRIN_SIGNALING_PATHWAY","Gastrin Signaling Pathway"
"WP_GDNFRET_SIGNALLING_AXIS","GDNF/RET signalling axis"
"WP_GENE_REGULATORY_NETWORK_MODELLING_SOMITOGENESIS","Gene regulatory network modelling somitogenesis "
"WP_GENES_CONTROLLING_RENAL_NEPHROGENESIS","Genes controlling renal nephrogenesis"
"WP_GENES_INVOLVED_IN_MALE_INFERTILITY","Genes involved in male infertility"
"WP_GENES_RELATED_TO_PRIMARY_CILIUM_DEVELOPMENT_BASED_ON_CRISPR","Genes related to primary cilium development (based on CRISPR)"
"WP_GENES_TARGETED_BY_MIRNAS_IN_ADIPOCYTES","Genes targeted by miRNAs in adipocytes"
"WP_GENOTOXICITY_PATHWAY","Genotoxicity pathway"
"WP_GLIAL_CELL_DIFFERENTIATION","Glial Cell Differentiation"
"WP_GLOBO_SPHINGOLIPID_METABOLISM","Globo Sphingolipid Metabolism"
"WP_GLUCOCORTICOID_AND_MINERALCORTICOID_METABOLISM","Glucocorticoid and Mineralcorticoid Metabolism"
"WP_GLUCURONIDATION","Glucuronidation"
"WP_GLUTATHIONE_METABOLISM","Glutathione metabolism"
"WP_GLYCEROLIPIDS_AND_GLYCEROPHOSPHOLIPIDS","Glycerolipids and Glycerophospholipids"
"WP_GLYCEROPHOSPHOLIPID_BIOSYNTHETIC_PATHWAY","Glycerophospholipid Biosynthetic Pathway"
"WP_GLYCOGEN_SYNTHESIS_AND_DEGRADATION","Glycogen Synthesis and Degradation"
"WP_GLYCOLYSIS_AND_GLUCONEOGENESIS","Glycolysis and Gluconeogenesis"
"WP_GLYCOSAMINOGLYCAN_DEGRADATION","Glycosaminoglycan degradation"
"WP_GLYCOSYLATION_AND_RELATED_CONGENITAL_DEFECTS","Glycosylation and related congenital defects"
"WP_GPCRS_CLASS_A_RHODOPSINLIKE","GPCRs, Class A Rhodopsin-like"
"WP_GPCRS_CLASS_B_SECRETINLIKE","GPCRs, Class B Secretin-like"
"WP_GPCRS_CLASS_C_METABOTROPIC_GLUTAMATE_PHEROMONE","GPCRs, Class C Metabotropic glutamate, pheromone"
"WP_GPCRS_OTHER","GPCRs, Other"
"WP_GPR40_PATHWAY","GPR40 Pathway"
"WP_H19_ACTION_RBE2F1_SIGNALING_AND_CDKBETACATENIN_ACTIVITY","H19 action Rb-E2F1 signaling and CDK-Beta-catenin activity"
"WP_HAIR_FOLLICLE_DEVELOPMENT_CYTODIFFERENTIATION_PART_3_OF_3","Hair Follicle Development: Cytodifferentiation (Part 3 of 3)"
"WP_HEAD_AND_NECK_SQUAMOUS_CELL_CARCINOMA","Head and Neck Squamous Cell Carcinoma"
"WP_HEART_DEVELOPMENT","Heart Development"
"WP_HEDGEHOG_SIGNALING_PATHWAY","Hedgehog Signaling Pathway"
"WP_HEDGEHOG_SIGNALING_PATHWAY_NETPATH","Hedgehog Signaling Pathway Netpath"
"WP_HEMATOPOIETIC_STEM_CELL_DIFFERENTIATION","Hematopoietic Stem Cell Differentiation"
"WP_HEMATOPOIETIC_STEM_CELL_GENE_REGULATION_BY_GABP_ALPHABETA_COMPLEX","Hematopoietic Stem Cell Gene Regulation by GABP alpha/beta Complex"
"WP_HEME_BIOSYNTHESIS","Heme Biosynthesis"
"WP_HEPATITIS_B_INFECTION","Hepatitis B infection"
"WP_HEPATITIS_C_AND_HEPATOCELLULAR_CARCINOMA","Hepatitis C and Hepatocellular Carcinoma"
"WP_HEREDITARY_LEIOMYOMATOSIS_AND_RENAL_CELL_CARCINOMA_PATHWAY","Hereditary leiomyomatosis and renal cell carcinoma pathway"
"WP_HFE_EFFECT_ON_HEPCIDIN_PRODUCTION","Hfe effect on hepcidin production"
"WP_HIF1A_AND_PPARG_REGULATION_OF_GLYCOLYSIS","HIF1A and PPARG regulation of glycolysis"
"WP_HIJACK_OF_UBIQUITINATION_BY_SARSCOV2","Hijack of Ubiquitination by SARS-CoV-2"
"WP_HIPPOMERLIN_SIGNALING_DYSREGULATION","Hippo-Merlin Signaling Dysregulation"
"WP_HIPPOYAP_SIGNALING_PATHWAY","Hippo-Yap signaling pathway"
"WP_HISTONE_MODIFICATIONS","Histone Modifications"
"WP_HOMOLOGOUS_RECOMBINATION","Homologous recombination"
"WP_HOSTPATHOGEN_INTERACTION_OF_HUMAN_CORONA_VIRUSES_APOPTOSIS","Host-pathogen interaction of human corona viruses - apoptosis"
"WP_HOSTPATHOGEN_INTERACTION_OF_HUMAN_CORONA_VIRUSES_AUTOPHAGY","Host-pathogen interaction of human corona viruses - autophagy"
"WP_HOSTPATHOGEN_INTERACTION_OF_HUMAN_CORONA_VIRUSES_INTERFERON_INDUCTION","Host-pathogen interaction of human corona viruses - Interferon induction"
"WP_HOSTPATHOGEN_INTERACTION_OF_HUMAN_CORONA_VIRUSES_MAPK_SIGNALING","Host-pathogen interaction of human corona viruses - MAPK signaling"
"WP_HUMAN_COMPLEMENT_SYSTEM","Human Complement System"
"WP_HUMAN_THYROID_STIMULATING_HORMONE_TSH_SIGNALING_PATHWAY","Human Thyroid Stimulating Hormone (TSH) signaling pathway"
"WP_HYPERTROPHY_MODEL","Hypertrophy Model"
"WP_HYPOTHESIZED_PATHWAYS_IN_PATHOGENESIS_OF_CARDIOVASCULAR_DISEASE","Hypothesized Pathways in Pathogenesis of Cardiovascular Disease"
"WP_HYPOTHETICAL_CRANIOFACIAL_DEVELOPMENT_PATHWAY","Hypothetical Craniofacial Development Pathway"
"WP_ID_SIGNALING_PATHWAY","ID signaling pathway"
"WP_IL1_AND_MEGAKARYOCYTES_IN_OBESITY","IL1 and megakaryocytes in obesity"
"WP_IL1_SIGNALING_PATHWAY","IL-1 signaling pathway"
"WP_IL10_ANTIINFLAMMATORY_SIGNALING_PATHWAY","IL-10 Anti-inflammatory Signaling Pathway "
"WP_IL17_SIGNALING_PATHWAY","IL17 signaling pathway"
"WP_IL18_SIGNALING_PATHWAY","IL-18 signaling pathway"
"WP_IL2_SIGNALING_PATHWAY","IL-2 Signaling Pathway"
"WP_IL3_SIGNALING_PATHWAY","IL-3 Signaling Pathway"
"WP_IL4_SIGNALING_PATHWAY","IL-4 Signaling Pathway"
"WP_IL5_SIGNALING_PATHWAY","IL-5 Signaling Pathway"
"WP_IL6_SIGNALING_PATHWAY","IL-6 signaling pathway"
"WP_IL7_SIGNALING_PATHWAY","IL-7 Signaling Pathway"
"WP_IL9_SIGNALING_PATHWAY","IL-9 Signaling Pathway"
"WP_IMATINIB_AND_CHRONIC_MYELOID_LEUKEMIA","Imatinib and Chronic Myeloid Leukemia"
"WP_INFLAMMATORY_RESPONSE_PATHWAY","Inflammatory Response Pathway"
"WP_INHIBITION_OF_EXOSOME_BIOGENESIS_AND_SECRETION_BY_MANUMYCIN_A_IN_CRPC_CELLS","Inhibition of exosome biogenesis and secretion by Manumycin A in CRPC cells"
"WP_INITIATION_OF_TRANSCRIPTION_AND_TRANSLATION_ELONGATION_AT_THE_HIV1_LTR","Initiation of transcription and translation elongation at the HIV-1 LTR"
"WP_INSULIN_SIGNALING","Insulin Signaling"
"WP_INSULIN_SIGNALLING_IN_HUMAN_ADIPOCYTES_DIABETIC_CONDITION","Insulin signalling in human adipocytes (diabetic condition)"
"WP_INSULIN_SIGNALLING_IN_HUMAN_ADIPOCYTES_NORMAL_CONDITION","Insulin signalling in human adipocytes (normal condition)"
"WP_INTEGRATED_BREAST_CANCER_PATHWAY","Integrated Breast Cancer Pathway"
"WP_INTEGRATED_CANCER_PATHWAY","Integrated Cancer Pathway"
"WP_INTEGRINMEDIATED_CELL_ADHESION","Integrin-mediated Cell Adhesion"
"WP_INTERACTIONS_BETWEEN_IMMUNE_CELLS_AND_MICRORNAS_IN_TUMOR_MICROENVIRONMENT","Interactions between immune cells and microRNAs in tumor microenvironment"
"WP_INTERACTOME_OF_POLYCOMB_REPRESSIVE_COMPLEX_2_PRC2","Interactome of polycomb repressive complex 2 (PRC2) "
"WP_INTERFERON_TYPE_I_SIGNALING_PATHWAYS","Interferon type I signaling pathways"
"WP_INTERLEUKIN1_INDUCED_ACTIVATION_OF_NFKAPPAB","Interleukin-1 Induced Activation of NF-kappa-B"
"WP_INTERLEUKIN11_SIGNALING_PATHWAY","Interleukin-11 Signaling Pathway"
"WP_INTRACELLULAR_TRAFFICKING_PROTEINS_INVOLVED_IN_CMT_NEUROPATHY","Intracellular trafficking proteins involved in CMT neuropathy"
"WP_INTRAFLAGELLAR_TRANSPORT_PROTEINS_BINDING_TO_DYNEIN","Intraflagellar transport proteins binding to dynein"
"WP_IRINOTECAN_PATHWAY","Irinotecan Pathway"
"WP_IRON_METABOLISM_IN_PLACENTA","Iron metabolism in placenta"
"WP_JOUBERT_SYNDROME","Joubert Syndrome"
"WP_KENNEDY_PATHWAY_FROM_SPHINGOLIPIDS","Kennedy pathway from Sphingolipids"
"WP_KETOGENESIS_AND_KETOLYSIS","Ketogenesis and Ketolysis"
"WP_KISSPEPTINKISSPEPTIN_RECEPTOR_SYSTEM_IN_THE_OVARY","Kisspeptin/Kisspeptin Receptor System in the Ovary"
"WP_KIT_RECEPTOR_SIGNALING_PATHWAY","Kit receptor signaling pathway"
"WP_LDLRAD4_AND_WHAT_WE_KNOW_ABOUT_IT","LDLRAD4 and what we know about it"
"WP_LEPTIN_AND_ADIPONECTIN","Leptin and adiponectin"
"WP_LEPTIN_INSULIN_OVERLAP","Leptin Insulin Overlap"
"WP_LEPTIN_SIGNALING_PATHWAY","Leptin signaling pathway"
"WP_LET7_INHIBITION_OF_ES_CELL_REPROGRAMMING","let-7 inhibition of ES cell reprogramming"
"WP_LIPID_METABOLISM_PATHWAY","Lipid Metabolism Pathway"
"WP_LIVER_X_RECEPTOR_PATHWAY","Liver X Receptor Pathway"
"WP_LNCRNA_INVOLVEMENT_IN_CANONICAL_WNT_SIGNALING_AND_COLORECTAL_CANCER","LncRNA involvement in canonical Wnt signaling and colorectal cancer"
"WP_LNCRNAMEDIATED_MECHANISMS_OF_THERAPEUTIC_RESISTANCE","LncRNA-mediated mechanisms of therapeutic resistance"
"WP_LTF_DANGER_SIGNAL_RESPONSE_PATHWAY","LTF danger signal response pathway"
"WP_LUNG_FIBROSIS","Lung fibrosis"
"WP_MACROPHAGE_MARKERS","Macrophage markers"
"WP_MAJOR_RECEPTORS_TARGETED_BY_EPINEPHRINE_AND_NOREPINEPHRINE","Major receptors targeted by epinephrine and norepinephrine"
"WP_MAMMALIAN_DISORDER_OF_SEXUAL_DEVELOPMENT","Mammalian disorder of sexual development"
"WP_MAMMARY_GLAND_DEVELOPMENT_PATHWAY_EMBRYONIC_DEVELOPMENT_STAGE_1_OF_4","Mammary gland development pathway - Embryonic development (Stage 1 of 4)"
"WP_MAMMARY_GLAND_DEVELOPMENT_PATHWAY_INVOLUTION_STAGE_4_OF_4","Mammary gland development pathway - Involution (Stage 4 of 4)"
"WP_MAMMARY_GLAND_DEVELOPMENT_PATHWAY_PREGNANCY_AND_LACTATION_STAGE_3_OF_4","Mammary gland development pathway - Pregnancy and lactation (Stage 3 of 4)"
"WP_MAMMARY_GLAND_DEVELOPMENT_PATHWAY_PUBERTY_STAGE_2_OF_4","Mammary gland development pathway - Puberty (Stage 2 of 4)"
"WP_MAP3K1_ROLE_IN_PROMOTING_AND_BLOCKING_GONADAL_DETERMINATION","MAP3K1 role in promoting and blocking gonadal determination"
"WP_MAPK_AND_NFKB_SIGNALLING_PATHWAYS_INHIBITED_BY_YERSINIA_YOPJ","MAPK  and NFkB Signalling Pathways Inhibited by Yersinia YopJ"
"WP_MAPK_CASCADE","MAPK Cascade"
"WP_MAPK_PATHWAY_IN_CONGENITAL_THYROID_CANCER","MAPK pathway in congenital thyroid cancer"
"WP_MAPK_SIGNALING_PATHWAY","MAPK Signaling Pathway"
"WP_MATRIX_METALLOPROTEINASES","Matrix Metalloproteinases"
"WP_MBDNF_AND_PROBDNF_REGULATION_OF_GABA_NEUROTRANSMISSION","mBDNF and proBDNF regulation of GABA neurotransmission"
"WP_MECHANOREGULATION_AND_PATHOLOGY_OF_YAPTAZ_VIA_HIPPO_AND_NONHIPPO_MECHANISMS","Mechanoregulation and pathology of YAP/TAZ via Hippo and non-Hippo mechanisms"
"WP_MECP2_AND_ASSOCIATED_RETT_SYNDROME","MECP2 and Associated Rett Syndrome"
"WP_MED_AND_PSEUDOACHONDROPLASIA_GENES","MED and Pseudoachondroplasia genes"
"WP_MELANOMA","Melanoma"
"WP_MELATONIN_METABOLISM_AND_EFFECTS","Melatonin metabolism and effects"
"WP_MESODERMAL_COMMITMENT_PATHWAY","Mesodermal Commitment Pathway"
"WP_MET_IN_TYPE_1_PAPILLARY_RENAL_CELL_CARCINOMA","MET in type 1 papillary renal cell carcinoma"
"WP_METABOLIC_PATHWAY_OF_LDL_HDL_AND_TG_INCLUDING_DISEASES","Metabolic pathway of LDL, HDL and TG, including diseases"
"WP_METABOLIC_REPROGRAMMING_IN_COLON_CANCER","Metabolic reprogramming in colon cancer"
"WP_METABOLISM_OF_ALPHALINOLENIC_ACID","Metabolism of alpha-linolenic acid"
"WP_METABOLISM_OF_SPINGOLIPIDS_IN_ER_AND_GOLGI_APPARATUS","Metabolism of Spingolipids in ER and Golgi apparatus"
"WP_METAPATHWAY_BIOTRANSFORMATION_PHASE_I_AND_II","Metapathway biotransformation Phase I and II"
"WP_METASTATIC_BRAIN_TUMOR","Metastatic brain tumor"
"WP_METHIONINE_DE_NOVO_AND_SALVAGE_PATHWAY","Methionine De Novo and Salvage Pathway"
"WP_METHIONINE_METABOLISM_LEADING_TO_SULPHUR_AMINO_ACIDS_AND_RELATED_DISORDERS","Methionine metabolism leading to Sulphur Amino Acids and related disorders"
"WP_METHYLATION_PATHWAYS","Methylation Pathways"
"WP_MEVALONATE_PATHWAY","Mevalonate pathway"
"WP_MFAP5_EFFECT_ON_PERMEABILITY_AND_MOTILITY_OF_ENDOTHELIAL_CELLS_VIA_CYTOSKELETON_REARRANGEMENT","MFAP5 effect on permeability and motility of endothelial cells via cytoskeleton rearrangement"
"WP_MFAP5MEDIATED_OVARIAN_CANCER_CELL_MOTILITY_AND_INVASIVENESS","MFAP5-mediated ovarian cancer cell motility and invasiveness"
"WP_MICROGLIA_PATHOGEN_PHAGOCYTOSIS_PATHWAY","Microglia Pathogen Phagocytosis Pathway"
"WP_MICRORNA_FOR_TARGETING_CANCER_GROWTH_AND_VASCULARIZATION_IN_GLIOBLASTOMA","MicroRNA for Targeting Cancer Growth and Vascularization in Glioblastoma"
"WP_MICRORNA_NETWORK_ASSOCIATED_WITH_CHRONIC_LYMPHOCYTIC_LEUKEMIA","MicroRNA network associated with chronic lymphocytic leukemia"
"WP_MICRORNAS_IN_CARDIOMYOCYTE_HYPERTROPHY","MicroRNAs in cardiomyocyte hypertrophy"
"WP_MIR124_PREDICTED_INTERACTIONS_WITH_CELL_CYCLE_AND_DIFFERENTIATION","mir-124 predicted interactions with cell cycle and differentiation "
"WP_MIR5093P_ALTERATION_OF_YAP1ECM_AXIS","miR-509-3p alteration of YAP1/ECM axis"
"WP_MIR517_RELATIONSHIP_WITH_ARCN1_AND_USP1","miR-517 relationship with ARCN1 and USP1"
"WP_MIRNA_BIOGENESIS","miRNA Biogenesis"
"WP_MIRNA_REGULATION_OF_DNA_DAMAGE_RESPONSE","miRNA Regulation of DNA Damage Response"
"WP_MIRNA_REGULATION_OF_P53_PATHWAY_IN_PROSTATE_CANCER","miRNA regulation of p53 pathway in prostate cancer"
"WP_MIRNA_REGULATION_OF_PROSTATE_CANCER_SIGNALING_PATHWAYS","miRNA regulation of prostate cancer signaling pathways"
"WP_MIRNA_TARGETS_IN_ECM_AND_MEMBRANE_RECEPTORS","miRNA targets in ECM and membrane receptors"
"WP_MIRNAS_INVOLVED_IN_DNA_DAMAGE_RESPONSE","miRNAs involved in DNA damage response"
"WP_MIRNAS_INVOLVEMENT_IN_THE_IMMUNE_RESPONSE_IN_SEPSIS","miRNAs involvement in the immune response in sepsis"
"WP_MITOCHONDRIAL_CII_ASSEMBLY","Mitochondrial CII Assembly"
"WP_MITOCHONDRIAL_CIII_ASSEMBLY","Mitochondrial CIII assembly"
"WP_MITOCHONDRIAL_CIV_ASSEMBLY","Mitochondrial CIV Assembly"
"WP_MITOCHONDRIAL_COMPLEX_I_ASSEMBLY_MODEL_OXPHOS_SYSTEM","Mitochondrial complex I assembly model OXPHOS system"
"WP_MITOCHONDRIAL_GENE_EXPRESSION","Mitochondrial Gene Expression"
"WP_MITOCHONDRIAL_LCFATTY_ACID_BETAOXIDATION","Mitochondrial LC-Fatty Acid Beta-Oxidation"
"WP_MOLYBDENUM_COFACTOR_MOCO_BIOSYNTHESIS","Molybdenum cofactor (Moco) biosynthesis"
"WP_MONOAMINE_GPCRS","Monoamine GPCRs"
"WP_MONOAMINE_TRANSPORT","Monoamine Transport"
"WP_MRNA_PROCESSING","mRNA Processing"
"WP_MTHFR_DEFICIENCY","MTHFR deficiency"
"WP_MYOMETRIAL_RELAXATION_AND_CONTRACTION_PATHWAYS","Myometrial Relaxation and Contraction Pathways"
"WP_NAD_BIOSYNTHESIS_II_FROM_TRYPTOPHAN","NAD Biosynthesis II (from tryptophan)"
"WP_NAD_BIOSYNTHETIC_PATHWAYS","NAD+ biosynthetic pathways"
"WP_NAD_METABOLISM","NAD+ metabolism"
"WP_NAD_METABOLISM_SIRTUINS_AND_AGING","NAD metabolism, sirtuins and aging"
"WP_NANOMATERIAL_INDUCED_APOPTOSIS","Nanomaterial induced apoptosis"
"WP_NANOMATERIALINDUCED_INFLAMMASOME_ACTIVATION","Nanomaterial-induced Inflammasome Activation"
"WP_NANOPARTICLE_TRIGGERED_AUTOPHAGIC_CELL_DEATH","Nanoparticle triggered autophagic cell death"
"WP_NANOPARTICLE_TRIGGERED_REGULATED_NECROSIS","Nanoparticle triggered regulated necrosis"
"WP_NANOPARTICLEMEDIATED_ACTIVATION_OF_RECEPTOR_SIGNALING","Nanoparticle-mediated activation of receptor signaling"
"WP_NCRNAS_INVOLVED_IN_STAT3_SIGNALING_IN_HEPATOCELLULAR_CARCINOMA","ncRNAs involved in STAT3 signaling in hepatocellular carcinoma"
"WP_NCRNAS_INVOLVED_IN_WNT_SIGNALING_IN_HEPATOCELLULAR_CARCINOMA","ncRNAs involved in Wnt signaling in hepatocellular carcinoma"
"WP_NEOVASCULARISATION_PROCESSES","Neovascularisation processes"
"WP_NEPHROTIC_SYNDROME","Nephrotic syndrome"
"WP_NETRINUNC5B_SIGNALING_PATHWAY","Netrin-UNC5B signaling Pathway"
"WP_NEURAL_CREST_CELL_MIGRATION_DURING_DEVELOPMENT","Neural Crest Cell Migration during Development"
"WP_NEURAL_CREST_CELL_MIGRATION_IN_CANCER","Neural Crest Cell Migration in Cancer"
"WP_NEURAL_CREST_DIFFERENTIATION","Neural Crest Differentiation"
"WP_NEURODEGENERATION_WITH_BRAIN_IRON_ACCUMULATION_NBIA_SUBTYPES_PATHWAY","Neurodegeneration with brain iron accumulation (NBIA) subtypes pathway"
"WP_NEUROINFLAMMATION","Neuroinflammation"
"WP_NICOTINE_ACTIVITY_ON_DOPAMINERGIC_NEURONS","Nicotine Activity on Dopaminergic Neurons"
"WP_NICOTINE_METABOLISM","Nicotine Metabolism"
"WP_NLR_PROTEINS","NLR Proteins"
"WP_NO_METABOLISM_IN_CYSTIC_FIBROSIS","NO metabolism in cystic fibrosis"
"WP_NOCGMPPKG_MEDIATED_NEUROPROTECTION","NO/cGMP/PKG mediated Neuroprotection"
"WP_NONALCOHOLIC_FATTY_LIVER_DISEASE","Nonalcoholic fatty liver disease"
"WP_NONGENOMIC_ACTIONS_OF_125_DIHYDROXYVITAMIN_D3","Non-genomic actions of 1,25 dihydroxyvitamin D3"
"WP_NONHOMOLOGOUS_END_JOINING","Non-homologous end joining"
"WP_NONSMALL_CELL_LUNG_CANCER","Non-small cell lung cancer"
"WP_NOTCH_SIGNALING","Notch Signaling"
"WP_NOTCH_SIGNALING_PATHWAY_NETPATH","Notch Signaling Pathway Netpath"
"WP_NOTCH1_REGULATION_OF_HUMAN_ENDOTHELIAL_CELL_CALCIFICATION","NOTCH1 regulation of human endothelial cell calcification"
"WP_NOVEL_INTRACELLULAR_COMPONENTS_OF_RIGILIKE_RECEPTOR_RLR_PATHWAY","Novel intracellular components of RIG-I-like receptor (RLR) pathway"
"WP_NRF2_PATHWAY","NRF2 pathway"
"WP_NRF2ARE_REGULATION","NRF2-ARE regulation"
"WP_NUCLEAR_RECEPTORS","Nuclear Receptors"
"WP_NUCLEAR_RECEPTORS_IN_LIPID_METABOLISM_AND_TOXICITY","Nuclear Receptors in Lipid Metabolism and Toxicity"
"WP_NUCLEAR_RECEPTORS_METAPATHWAY","Nuclear Receptors Meta-Pathway"
"WP_NUCLEOTIDE_EXCISION_REPAIR","Nucleotide Excision Repair"
"WP_NUCLEOTIDE_GPCRS","Nucleotide GPCRs"
"WP_NUCLEOTIDE_METABOLISM","Nucleotide Metabolism"
"WP_NUCLEOTIDEBINDING_OLIGOMERIZATION_DOMAIN_NOD_PATHWAY","Nucleotide-binding Oligomerization Domain (NOD) pathway"
"WP_OLIGODENDROCYTE_SPECIFICATION_AND_DIFFERENTIATION_LEADING_TO_MYELIN_COMPONENTS_FOR_CNS","Oligodendrocyte specification and differentiation, leading to Myelin Components for CNS"
"WP_OMEGA3OMEGA6_FA_SYNTHESIS","Omega-3/Omega-6 FA synthesis"
"WP_OMEGA9_FA_SYNTHESIS","Omega-9 FA synthesis"
"WP_ONCOSTATIN_M_SIGNALING_PATHWAY","Oncostatin M Signaling Pathway"
"WP_ONE_CARBON_METABOLISM","One Carbon Metabolism"
"WP_ONE_CARBON_METABOLISM_AND_RELATED_PATHWAYS","One carbon metabolism and related pathways"
"WP_OSTEOBLAST_DIFFERENTIATION","Osteoblast differentiation"
"WP_OSTEOBLAST_SIGNALING","Osteoblast Signaling"
"WP_OSTEOCLAST_SIGNALING","Osteoclast Signaling"
"WP_OSTEOPONTIN_SIGNALING","Osteopontin Signaling"
"WP_OVARIAN_INFERTILITY_GENES","Ovarian Infertility Genes"
"WP_OVERVIEW_OF_INTERFERONSMEDIATED_SIGNALING_PATHWAY","Overview of interferons-mediated signaling pathway"
"WP_OVERVIEW_OF_LEUKOCYTEINTRINSIC_HIPPO_PATHWAY_FUNCTIONS","Overview of leukocyte-intrinsic Hippo pathway functions"
"WP_OVERVIEW_OF_NANOPARTICLE_EFFECTS","Overview of nanoparticle effects"
"WP_OXIDATION_BY_CYTOCHROME_P450","Oxidation by Cytochrome P450"
"WP_OXIDATIVE_DAMAGE","Oxidative Damage"
"WP_OXIDATIVE_PHOSPHORYLATION","Oxidative phosphorylation"
"WP_OXIDATIVE_STRESS","Oxidative Stress"
"WP_OXYSTEROLS_DERIVED_FROM_CHOLESTEROL","Oxysterols derived from cholesterol"
"WP_P38_MAPK_SIGNALING_PATHWAY","p38 MAPK Signaling Pathway"
"WP_PANCREATIC_ADENOCARCINOMA_PATHWAY","Pancreatic adenocarcinoma pathway"
"WP_PARKINSONS_DISEASE_PATHWAY","Parkinsons Disease Pathway"
"WP_PARKINUBIQUITIN_PROTEASOMAL_SYSTEM_PATHWAY","Parkin-Ubiquitin Proteasomal System pathway"
"WP_PATHOGENESIS_OF_SARSCOV2_MEDIATED_BY_NSP9NSP10_COMPLEX","Pathogenesis of SARS-CoV-2 Mediated by nsp9-nsp10 Complex"
"WP_PATHOGENIC_ESCHERICHIA_COLI_INFECTION","Pathogenic Escherichia coli infection"
"WP_PATHWAYS_AFFECTED_IN_ADENOID_CYSTIC_CARCINOMA","Pathways Affected in Adenoid Cystic Carcinoma"
"WP_PATHWAYS_IN_CLEAR_CELL_RENAL_CELL_CARCINOMA","Pathways in clear cell renal cell carcinoma"
"WP_PATHWAYS_OF_NUCLEIC_ACID_METABOLISM_AND_INNATE_IMMUNE_SENSING","Pathways of nucleic acid metabolism and innate immune sensing"
"WP_PATHWAYS_REGULATING_HIPPO_SIGNALING","Pathways Regulating Hippo Signaling"
"WP_PDGF_PATHWAY","PDGF Pathway"
"WP_PDGFRBETA_PATHWAY","PDGFR-beta pathway"
"WP_PENTOSE_PHOSPHATE_METABOLISM","Pentose Phosphate Metabolism"
"WP_PEPTIDE_GPCRS","Peptide GPCRs"
"WP_PEROXIREDOXIN_2_INDUCED_OVARIAN_FAILURE","Peroxiredoxin 2 induced ovarian failure"
"WP_PHASE_I_BIOTRANSFORMATIONS_NON_P450","Phase I biotransformations, non P450"
"WP_PHOSPHODIESTERASES_IN_NEURONAL_FUNCTION","Phosphodiesterases in neuronal function"
"WP_PHOTODYNAMIC_THERAPYINDUCED_AP1_SURVIVAL_SIGNALING","Photodynamic therapy-induced AP-1 survival signaling."
"WP_PHOTODYNAMIC_THERAPYINDUCED_HIF1_SURVIVAL_SIGNALING","Photodynamic therapy-induced HIF-1 survival signaling"
"WP_PHOTODYNAMIC_THERAPYINDUCED_NFE2L2_NRF2_SURVIVAL_SIGNALING","Photodynamic therapy-induced NFE2L2 (NRF2) survival signaling"
"WP_PHOTODYNAMIC_THERAPYINDUCED_NFKB_SURVIVAL_SIGNALING","Photodynamic therapy-induced NF-kB survival signaling"
"WP_PHOTODYNAMIC_THERAPYINDUCED_UNFOLDED_PROTEIN_RESPONSE","Photodynamic therapy-induced unfolded protein response"
"WP_PHYSIOLOGICAL_AND_PATHOLOGICAL_HYPERTROPHY_OF_THE_HEART","Physiological and Pathological Hypertrophy  of the Heart"
"WP_PHYTOCHEMICAL_ACTIVITY_ON_NRF2_TRANSCRIPTIONAL_ACTIVATION","Phytochemical activity on NRF2 transcriptional activation"
"WP_PI3KAKT_SIGNALING_PATHWAY","PI3K-Akt Signaling Pathway"
"WP_PI3KAKTMTOR_SIGNALING_PATHWAY_AND_THERAPEUTIC_OPPORTUNITIES","PI3K-AKT-mTOR signaling pathway and therapeutic opportunities"
"WP_PI3KAKTMTOR_VITD3_SIGNALLING","PI3K/AKT/mTOR - VitD3 Signalling"
